Name          Position  Team   GP     G      A      PIM    SOG    GWG    P      P/G    PCT
St.Louis      RW        TB     48     17     43     14     112    2      60     1.25   15.18 
Stamkos       C         TB     48     29     28     32     157    2      57     1.19   18.47 
Ovechkin      RW        WSH    48     32     24     36     220    4      56     1.17   14.55 
Crosby        C         PIT    36     15     41     16     124    1      56     1.56   12.10 
Kane          RW        CHI    47     23     32     8      138    3      55     1.17   16.67 
Staal         C         CAR    48     18     35     54     152    4      53     1.10   11.84 
Kunitz        LW        PIT    48     22     30     39     113    5      52     1.08   19.47 
Kessel        RW        TOR    48     20     32     18     161    4      52     1.08   12.42 
Hall          LW        EDM    45     16     34     33     154    4      50     1.11   10.39 
Getzlaf       C         ANA    44     15     34     41     99     3      49     1.11   15.15 
Datsyuk       C         DET    47     15     34     14     107    6      49     1.04   14.02 
Ribeiro       C         WSH    48     13     36     53     63     1      49     1.02   20.63 
Toews         C         CHI    47     23     25     27     143    5      48     1.02   16.08 
Giroux        C         PHI    48     13     35     22     137    2      48     1.00   9.49 
Zetterberg    C         DET    46     11     37     18     173    5      48     1.04   6.36 
Backstrom     C         WSH    48     8      40     20     82     1      48     1.00   9.76 
Tavares       C         NYI    48     28     19     18     162    5      47     0.98   17.28 
Voracek       RW        PHI    48     22     24     35     129    3      46     0.96   17.05 
Ladd          LW        WPG    48     18     28     22     121    4      46     0.96   14.88 
Sedin         C         VAN    48     11     34     24     70     1      45     0.94   15.71 
Kadri         C         TOR    48     18     26     23     107    1      44     0.92   16.82 
Stepan        C         NYR    48     18     26     12     108    6      44     0.92   16.67 
Moulson       LW        NYI    47     15     29     4      154    0      44     0.94   9.74 
Semin         LW        CAR    44     13     31     46     150    1      44     1.00   8.67 
Parenteau     RW        COL    48     18     25     38     105    1      43     0.90   17.14 
Duchene       C         COL    47     17     26     12     132    3      43     0.91   12.88 
Nash          LW        NYR    44     21     21     26     176    3      42     0.95   11.93 
Kopitar       C         LA     47     10     32     16     98     1      42     0.89   10.20 
Vanek         LW        BUF    38     20     21     20     119    2      41     1.08   16.81 
Wheeler       RW        WPG    48     19     22     28     129    2      41     0.85   14.73 
